Genotype,Trait,Year,Location,Rep,Population,Phenotype,Heritability_Source
GEN_026,yield,2022,Auburn_AL,1,South,4.477185716850825,Ferrão et al. 2021
GEN_027,yield,2022,Auburn_AL,1,North,1.355202924625654,Ferrão et al. 2021
GEN_028,yield,2022,Auburn_AL,1,North,3.8234973691068004,Ferrão et al. 2021
GEN_029,yield,2022,Auburn_AL,1,North,3.1528390155585777,Ferrão et al. 2021
GEN_030,yield,2022,Auburn_AL,1,South,4.378858294824181,Ferrão et al. 2021
GEN_031,yield,2022,Auburn_AL,1,North,3.8510601800279716,Ferrão et al. 2021
GEN_032,yield,2022,Auburn_AL,1,North,1.9801764410948097,Ferrão et al. 2021
GEN_033,yield,2022,Auburn_AL,1,South,2.539703442834953,Ferrão et al. 2021
GEN_034,yield,2022,Auburn_AL,1,North,3.1141263434790414,Ferrão et al. 2021
GEN_035,yield,2022,Auburn_AL,1,South,3.9902937985069267,Ferrão et al. 2021
GEN_036,yield,2022,Auburn_AL,1,North,5.213005155766937,Ferrão et al. 2021
GEN_037,yield,2022,Auburn_AL,1,North,2.3227513111942137,Ferrão et al. 2021
GEN_038,yield,2022,Auburn_AL,1,South,1.6683312088051112,Ferrão et al. 2021
GEN_039,yield,2022,Auburn_AL,1,North,1.6617982691034894,Ferrão et al. 2021
GEN_040,yield,2022,Auburn_AL,1,North,3.5534824683099773,Ferrão et al. 2021
GEN_041,yield,2022,Auburn_AL,1,North,1.8115125218788144,Ferrão et al. 2021
GEN_042,yield,2022,Auburn_AL,1,South,1.430725602079282,Ferrão et al. 2021
GEN_043,yield,2022,Auburn_AL,1,North,3.0545140524940724,Ferrão et al. 2021
GEN_044,yield,2022,Auburn_AL,1,North,4.361161605926535,Ferrão et al. 2021
GEN_045,yield,2022,Auburn_AL,1,North,3.1677108414660653,Ferrão et al. 2021
GEN_046,yield,2022,Auburn_AL,1,North,1.6156341348112642,Ferrão et al. 2021
GEN_047,yield,2022,Auburn_AL,1,South,1.8017876461286688,Ferrão et al. 2021
GEN_048,yield,2022,Auburn_AL,1,North,2.720815626234078,Ferrão et al. 2021
GEN_049,yield,2022,Auburn_AL,1,North,3.1815869336191804,Ferrão et al. 2021
GEN_050,yield,2022,Auburn_AL,1,South,2.484899336605829,Ferrão et al. 2021
GEN_051,yield,2022,Auburn_AL,1,South,3.4663100388045693,Ferrão et al. 2021
GEN_052,yield,2022,Auburn_AL,1,North,2.457359410733873,Ferrão et al. 2021
GEN_053,yield,2022,Auburn_AL,1,South,1.6920228986518733,Ferrão et al. 2021
GEN_054,yield,2022,Auburn_AL,1,North,4.781593740559996,Ferrão et al. 2021
GEN_055,yield,2022,Auburn_AL,1,North,1.071365469683975,Ferrão et al. 2021
GEN_056,yield,2022,Auburn_AL,1,South,3.028457734592621,Ferrão et al. 2021
GEN_057,yield,2022,Auburn_AL,1,South,1.065833543721852,Ferrão et al. 2021
GEN_058,yield,2022,Auburn_AL,1,North,4.344458360703479,Ferrão et al. 2021
GEN_059,yield,2022,Auburn_AL,1,South,2.8777074180209183,Ferrão et al. 2021
GEN_060,yield,2022,Auburn_AL,1,North,4.042423022802984,Ferrão et al. 2021
GEN_061,yield,2022,Auburn_AL,1,North,3.134407489002669,Ferrão et al. 2021
GEN_062,yield,2022,Auburn_AL,1,South,1.7247417575004103,Ferrão et al. 2021
GEN_063,yield,2022,Auburn_AL,1,South,0.9101641519756345,Ferrão et al. 2021
GEN_064,yield,2022,Auburn_AL,1,North,1.151427902951593,Ferrão et al. 2021
GEN_065,yield,2022,Auburn_AL,1,North,3.8055329619001816,Ferrão et al. 2021
GEN_066,yield,2022,Auburn_AL,1,North,0.23098056672724865,Ferrão et al. 2021
GEN_067,yield,2022,Auburn_AL,1,North,4.864710025562949,Ferrão et al. 2021
GEN_068,yield,2022,Auburn_AL,1,North,0.8766783482336489,Ferrão et al. 2021
GEN_069,yield,2022,Auburn_AL,1,South,1.5919459209670284,Ferrão et al. 2021
GEN_070,yield,2022,Auburn_AL,1,North,2.233402776137973,Ferrão et al. 2021
GEN_071,yield,2022,Auburn_AL,1,North,2.8735145888992477,Ferrão et al. 2021
GEN_072,yield,2022,Auburn_AL,1,North,2.053557737049239,Ferrão et al. 2021
GEN_073,yield,2022,Auburn_AL,1,North,1.7126259043270688,Ferrão et al. 2021
GEN_074,yield,2022,Auburn_AL,1,North,3.1462170732409964,Ferrão et al. 2021
GEN_075,yield,2022,Auburn_AL,1,North,4.812226629862478,Ferrão et al. 2021
GEN_076,yield,2022,Auburn_AL,1,North,1.669472110791201,Ferrão et al. 2021
GEN_077,yield,2022,Auburn_AL,1,South,1.7546312076068005,Ferrão et al. 2021
GEN_078,yield,2022,Auburn_AL,1,South,2.911431124227358,Ferrão et al. 2021
GEN_079,yield,2022,Auburn_AL,1,North,5.401031124320846,Ferrão et al. 2021
GEN_080,yield,2022,Auburn_AL,1,South,4.51983751889462,Ferrão et al. 2021
GEN_081,yield,2022,Auburn_AL,1,South,3.449504202290089,Ferrão et al. 2021
GEN_082,yield,2022,Auburn_AL,1,North,3.614207050367605,Ferrão et al. 2021
GEN_083,yield,2022,Auburn_AL,1,North,1.17574419863758,Ferrão et al. 2021
GEN_084,yield,2022,Auburn_AL,1,North,2.3258132306728148,Ferrão et al. 2021
GEN_085,yield,2022,Auburn_AL,1,South,1.6379908736998385,Ferrão et al. 2021
GEN_086,yield,2022,Auburn_AL,1,South,0.5587151011154612,Ferrão et al. 2021
GEN_087,yield,2022,Auburn_AL,1,North,2.9999126215390213,Ferrão et al. 2021
GEN_088,yield,2022,Auburn_AL,1,South,3.4176123631382462,Ferrão et al. 2021
GEN_089,yield,2022,Auburn_AL,1,North,2.1361799370373467,Ferrão et al. 2021
GEN_090,yield,2022,Auburn_AL,1,South,4.792930260494702,Ferrão et al. 2021
GEN_091,yield,2022,Auburn_AL,1,South,3.1722116016154676,Ferrão et al. 2021
GEN_092,yield,2022,Auburn_AL,1,South,3.096869293542221,Ferrão et al. 2021
GEN_093,yield,2022,Auburn_AL,1,South,1.8864263513643218,Ferrão et al. 2021
GEN_094,yield,2022,Auburn_AL,1,North,3.2610102131143974,Ferrão et al. 2021
GEN_095,yield,2022,Auburn_AL,1,North,4.557137829472093,Ferrão et al. 2021
GEN_096,yield,2022,Auburn_AL,1,North,3.6240264747326165,Ferrão et al. 2021
GEN_097,yield,2022,Auburn_AL,1,South,3.4240182310751215,Ferrão et al. 2021
GEN_098,yield,2022,Auburn_AL,1,South,3.2129326210431755,Ferrão et al. 2021
GEN_099,yield,2022,Auburn_AL,1,North,3.177447128492471,Ferrão et al. 2021
GEN_100,yield,2022,Auburn_AL,1,North,3.6406648307698077,Ferrão et al. 2021
GEN_001,yield,2022,Auburn_AL,2,North,2.671170019882539,Ferrão et al. 2021
GEN_002,yield,2022,Auburn_AL,2,North,3.192106438688713,Ferrão et al. 2021
GEN_003,yield,2022,Auburn_AL,2,South,2.844808726411155,Ferrão et al. 2021
GEN_004,yield,2022,Auburn_AL,2,South,1.0868829986286823,Ferrão et al. 2021
GEN_005,yield,2022,Auburn_AL,2,South,4.695715100805862,Ferrão et al. 2021
GEN_006,yield,2022,Auburn_AL,2,North,4.41472257122002,Ferrão et al. 2021
GEN_007,yield,2022,Auburn_AL,2,North,2.0282597208639483,Ferrão et al. 2021
GEN_008,yield,2022,Auburn_AL,2,South,1.6238123557455397,Ferrão et al. 2021
GEN_009,yield,2022,Auburn_AL,2,South,3.0540968274994413,Ferrão et al. 2021
GEN_010,yield,2022,Auburn_AL,2,South,1.9565738482064556,Ferrão et al. 2021
GEN_011,yield,2022,Auburn_AL,2,South,1.0607926296910433,Ferrão et al. 2021
GEN_012,yield,2022,Auburn_AL,2,North,1.2986908361452065,Ferrão et al. 2021
GEN_013,yield,2022,Auburn_AL,2,South,1.1504259833061823,Ferrão et al. 2021
GEN_014,yield,2022,Auburn_AL,2,North,2.986312119886707,Ferrão et al. 2021
GEN_015,yield,2022,Auburn_AL,2,South,5.254672600971507,Ferrão et al. 2021
GEN_016,yield,2022,Auburn_AL,2,North,3.159342974162185,Ferrão et al. 2021
GEN_017,yield,2022,Auburn_AL,2,North,2.9077352450341287,Ferrão et al. 2021
GEN_018,yield,2022,Auburn_AL,2,South,2.1260117769479727,Ferrão et al. 2021
GEN_019,yield,2022,Auburn_AL,2,North,1.5610078662840436,Ferrão et al. 2021
GEN_020,yield,2022,Auburn_AL,2,North,1.4352436775234034,Ferrão et al. 2021
GEN_021,yield,2022,Auburn_AL,2,North,5.343078626204808,Ferrão et al. 2021
GEN_022,yield,2022,Auburn_AL,2,South,5.253666443269888,Ferrão et al. 2021
GEN_023,yield,2022,Auburn_AL,2,North,2.034557412782864,Ferrão et al. 2021
GEN_024,yield,2022,Auburn_AL,2,South,4.115320726076365,Ferrão et al. 2021
GEN_025,yield,2022,Auburn_AL,2,North,2.9427604315644276,Ferrão et al. 2021
GEN_026,yield,2022,Auburn_AL,2,South,3.9181828334208086,Ferrão et al. 2021
GEN_027,yield,2022,Auburn_AL,2,North,2.2007669167163217,Ferrão et al. 2021
GEN_028,yield,2022,Auburn_AL,2,North,2.9327797587895628,Ferrão et al. 2021
GEN_029,yield,2022,Auburn_AL,2,North,1.975626821671293,Ferrão et al. 2021
GEN_030,yield,2022,Auburn_AL,2,South,3.049723930367219,Ferrão et al. 2021
GEN_031,yield,2022,Auburn_AL,2,North,2.867318919396776,Ferrão et al. 2021
GEN_032,yield,2022,Auburn_AL,2,North,1.9900860855898457,Ferrão et al. 2021
GEN_033,yield,2022,Auburn_AL,2,South,2.6380267722104,Ferrão et al. 2021
GEN_034,yield,2022,Auburn_AL,2,North,1.9826609875188619,Ferrão et al. 2021
GEN_035,yield,2022,Auburn_AL,2,South,3.9053601053489215,Ferrão et al. 2021
GEN_036,yield,2022,Auburn_AL,2,North,3.8622497457753657,Ferrão et al. 2021
GEN_037,yield,2022,Auburn_AL,2,North,4.601224966382492,Ferrão et al. 2021
GEN_038,yield,2022,Auburn_AL,2,South,2.9804415360487413,Ferrão et al. 2021
GEN_039,yield,2022,Auburn_AL,2,North,4.090759485859934,Ferrão et al. 2021
GEN_040,yield,2022,Auburn_AL,2,North,5.117515230254051,Ferrão et al. 2021
GEN_041,yield,2022,Auburn_AL,2,North,2.718329321147647,Ferrão et al. 2021
GEN_042,yield,2022,Auburn_AL,2,South,1.9373772460929612,Ferrão et al. 2021
GEN_043,yield,2022,Auburn_AL,2,North,3.0592218217767266,Ferrão et al. 2021
GEN_044,yield,2022,Auburn_AL,2,North,5.242388237183772,Ferrão et al. 2021
GEN_045,yield,2022,Auburn_AL,2,North,3.9426750779909012,Ferrão et al. 2021
GEN_046,yield,2022,Auburn_AL,2,North,2.2074779249429493,Ferrão et al. 2021
GEN_047,yield,2022,Auburn_AL,2,South,-0.28268144474498214,Ferrão et al. 2021
GEN_048,yield,2022,Auburn_AL,2,North,1.5269785050759221,Ferrão et al. 2021
GEN_049,yield,2022,Auburn_AL,2,North,3.869496429333596,Ferrão et al. 2021
GEN_050,yield,2022,Auburn_AL,2,South,2.7592029452892426,Ferrão et al. 2021
GEN_051,yield,2022,Auburn_AL,2,South,3.06671558488993,Ferrão et al. 2021
GEN_052,yield,2022,Auburn_AL,2,North,3.4769708613110883,Ferrão et al. 2021
GEN_053,yield,2022,Auburn_AL,2,South,2.6091088627516275,Ferrão et al. 2021
GEN_054,yield,2022,Auburn_AL,2,North,0.7339296801421926,Ferrão et al. 2021
GEN_055,yield,2022,Auburn_AL,2,North,1.130366015209358,Ferrão et al. 2021
GEN_056,yield,2022,Auburn_AL,2,South,3.6328979355049036,Ferrão et al. 2021
GEN_057,yield,2022,Auburn_AL,2,South,1.3965512381267038,Ferrão et al. 2021
GEN_058,yield,2022,Auburn_AL,2,North,3.081110647581732,Ferrão et al. 2021
GEN_059,yield,2022,Auburn_AL,2,South,1.2065917430278263,Ferrão et al. 2021
GEN_060,yield,2022,Auburn_AL,2,North,4.440589514533931,Ferrão et al. 2021
GEN_061,yield,2022,Auburn_AL,2,North,2.9838489741305674,Ferrão et al. 2021
GEN_062,yield,2022,Auburn_AL,2,South,1.6357599012097723,Ferrão et al. 2021
GEN_063,yield,2022,Auburn_AL,2,South,1.073680381129103,Ferrão et al. 2021
GEN_064,yield,2022,Auburn_AL,2,North,0.2702333104137047,Ferrão et al. 2021
GEN_065,yield,2022,Auburn_AL,2,North,2.6923849857988493,Ferrão et al. 2021
GEN_066,yield,2022,Auburn_AL,2,North,1.361565180267562,Ferrão et al. 2021
GEN_067,yield,2022,Auburn_AL,2,North,2.9987902490836693,Ferrão et al. 2021
GEN_068,yield,2022,Auburn_AL,2,North,3.0546144705921225,Ferrão et al. 2021
GEN_069,yield,2022,Auburn_AL,2,South,1.6160850121327595,Ferrão et al. 2021
GEN_070,yield,2022,Auburn_AL,2,North,3.8947106303524057,Ferrão et al. 2021
GEN_071,yield,2022,Auburn_AL,2,North,2.750062552287898,Ferrão et al. 2021
GEN_072,yield,2022,Auburn_AL,2,North,2.694210298895399,Ferrão et al. 2021
GEN_073,yield,2022,Auburn_AL,2,North,1.5056579327716968,Ferrão et al. 2021
GEN_074,yield,2022,Auburn_AL,2,North,3.268884131666785,Ferrão et al. 2021
GEN_075,yield,2022,Auburn_AL,2,North,5.114469238281147,Ferrão et al. 2021
GEN_076,yield,2022,Auburn_AL,2,North,0.48691301517278873,Ferrão et al. 2021
GEN_077,yield,2022,Auburn_AL,2,South,2.30973449084985,Ferrão et al. 2021
GEN_078,yield,2022,Auburn_AL,2,South,3.529123029523283,Ferrão et al. 2021
GEN_079,yield,2022,Auburn_AL,2,North,2.408277402274635,Ferrão et al. 2021
GEN_080,yield,2022,Auburn_AL,2,South,3.698536474560968,Ferrão et al. 2021
GEN_081,yield,2022,Auburn_AL,2,South,5.44499029783516,Ferrão et al. 2021
GEN_082,yield,2022,Auburn_AL,2,North,2.4937378091365234,Ferrão et al. 2021
GEN_083,yield,2022,Auburn_AL,2,North,-0.17061888512648093,Ferrão et al. 2021
GEN_084,yield,2022,Auburn_AL,2,North,1.7739027775216052,Ferrão et al. 2021
GEN_085,yield,2022,Auburn_AL,2,South,1.337542025992199,Ferrão et al. 2021
GEN_086,yield,2022,Auburn_AL,2,South,1.2752940027038884,Ferrão et al. 2021
GEN_087,yield,2022,Auburn_AL,2,North,3.008686228795324,Ferrão et al. 2021
GEN_088,yield,2022,Auburn_AL,2,South,4.499964772339782,Ferrão et al. 2021
GEN_089,yield,2022,Auburn_AL,2,North,2.0484905832887605,Ferrão et al. 2021
GEN_090,yield,2022,Auburn_AL,2,South,5.272907622928308,Ferrão et al. 2021
GEN_091,yield,2022,Auburn_AL,2,South,4.905983920003466,Ferrão et al. 2021
GEN_092,yield,2022,Auburn_AL,2,South,3.5860222619899944,Ferrão et al. 2021
GEN_093,yield,2022,Auburn_AL,2,South,3.887646949950721,Ferrão et al. 2021
GEN_094,yield,2022,Auburn_AL,2,North,1.9196498841355976,Ferrão et al. 2021
GEN_095,yield,2022,Auburn_AL,2,North,4.17499164460529,Ferrão et al. 2021
GEN_096,yield,2022,Auburn_AL,2,North,1.7061932338844001,Ferrão et al. 2021
GEN_097,yield,2022,Auburn_AL,2,South,3.8816097154656295,Ferrão et al. 2021
GEN_098,yield,2022,Auburn_AL,2,South,4.33176263032091,Ferrão et al. 2021
GEN_099,yield,2022,Auburn_AL,2,North,3.3905338194399475,Ferrão et al. 2021
GEN_100,yield,2022,Auburn_AL,2,North,4.578157746324727,Ferrão et al. 2021
GEN_001,yield,2022,Auburn_AL,3,North,3.517569903591591,Ferrão et al. 2021
GEN_002,yield,2022,Auburn_AL,3,North,3.4471594615608696,Ferrão et al. 2021
GEN_003,yield,2022,Auburn_AL,3,South,3.61858425265351,Ferrão et al. 2021
GEN_004,yield,2022,Auburn_AL,3,South,1.991524381867012,Ferrão et al. 2021
GEN_005,yield,2022,Auburn_AL,3,South,4.269685863309938,Ferrão et al. 2021
GEN_006,yield,2022,Auburn_AL,3,North,3.7983920927908734,Ferrão et al. 2021
GEN_007,yield,2022,Auburn_AL,3,North,1.1090489112435322,Ferrão et al. 2021
GEN_008,yield,2022,Auburn_AL,3,South,1.8243737118810834,Ferrão et al. 2021
GEN_009,yield,2022,Auburn_AL,3,South,1.1171903296310868,Ferrão et al. 2021
GEN_010,yield,2022,Auburn_AL,3,South,1.551828965942002,Ferrão et al. 2021
GEN_011,yield,2022,Auburn_AL,3,South,1.6159683484928338,Ferrão et al. 2021
GEN_012,yield,2022,Auburn_AL,3,North,2.1623194531266354,Ferrão et al. 2021
GEN_013,yield,2022,Auburn_AL,3,South,1.6039673722278147,Ferrão et al. 2021
GEN_014,yield,2022,Auburn_AL,3,North,4.191040061503504,Ferrão et al. 2021
GEN_015,yield,2022,Auburn_AL,3,South,4.244068967435053,Ferrão et al. 2021
GEN_016,yield,2022,Auburn_AL,3,North,2.7007343706941453,Ferrão et al. 2021
GEN_017,yield,2022,Auburn_AL,3,North,2.8339882469347026,Ferrão et al. 2021
GEN_018,yield,2022,Auburn_AL,3,South,3.056335501114952,Ferrão et al. 2021
GEN_019,yield,2022,Auburn_AL,3,North,-0.3685124202808081,Ferrão et al. 2021
GEN_020,yield,2022,Auburn_AL,3,North,1.8151310090001953,Ferrão et al. 2021
GEN_021,yield,2022,Auburn_AL,3,North,6.88958466081456,Ferrão et al. 2021
GEN_022,yield,2022,Auburn_AL,3,South,3.5007808884173706,Ferrão et al. 2021
GEN_023,yield,2022,Auburn_AL,3,North,2.8756545095637023,Ferrão et al. 2021
GEN_024,yield,2022,Auburn_AL,3,South,2.8228960771777283,Ferrão et al. 2021
GEN_025,yield,2022,Auburn_AL,3,North,1.8284474067730843,Ferrão et al. 2021
GEN_026,yield,2022,Auburn_AL,3,South,3.888712813620563,Ferrão et al. 2021
GEN_027,yield,2022,Auburn_AL,3,North,1.5375290330449438,Ferrão et al. 2021
GEN_028,yield,2022,Auburn_AL,3,North,2.8360116616219644,Ferrão et al. 2021
GEN_029,yield,2022,Auburn_AL,3,North,2.889485803802753,Ferrão et al. 2021
GEN_030,yield,2022,Auburn_AL,3,South,3.4420584804678187,Ferrão et al. 2021
GEN_031,yield,2022,Auburn_AL,3,North,3.131881819325938,Ferrão et al. 2021
GEN_032,yield,2022,Auburn_AL,3,North,3.6898776476630837,Ferrão et al. 2021
GEN_033,yield,2022,Auburn_AL,3,South,3.0869408759979913,Ferrão et al. 2021
GEN_034,yield,2022,Auburn_AL,3,North,2.6664325962025335,Ferrão et al. 2021
GEN_035,yield,2022,Auburn_AL,3,South,4.021286426973387,Ferrão et al. 2021
GEN_036,yield,2022,Auburn_AL,3,North,3.583253816987477,Ferrão et al. 2021
GEN_037,yield,2022,Auburn_AL,3,North,4.41078446028648,Ferrão et al. 2021
GEN_038,yield,2022,Auburn_AL,3,South,2.0466696116323186,Ferrão et al. 2021
GEN_039,yield,2022,Auburn_AL,3,North,3.00917836667878,Ferrão et al. 2021
GEN_040,yield,2022,Auburn_AL,3,North,2.470080868060121,Ferrão et al. 2021
GEN_041,yield,2022,Auburn_AL,3,North,1.5581453119691242,Ferrão et al. 2021
GEN_042,yield,2022,Auburn_AL,3,South,1.241107644500134,Ferrão et al. 2021
GEN_043,yield,2022,Auburn_AL,3,North,3.073232904120827,Ferrão et al. 2021
GEN_044,yield,2022,Auburn_AL,3,North,4.902714401877768,Ferrão et al. 2021
GEN_045,yield,2022,Auburn_AL,3,North,3.3792794286560017,Ferrão et al. 2021
GEN_046,yield,2022,Auburn_AL,3,North,2.4500440341854337,Ferrão et al. 2021
GEN_047,yield,2022,Auburn_AL,3,South,2.0328307474937124,Ferrão et al. 2021
GEN_048,yield,2022,Auburn_AL,3,North,1.5369936490033282,Ferrão et al. 2021
GEN_049,yield,2022,Auburn_AL,3,North,3.2968568559964466,Ferrão et al. 2021
GEN_050,yield,2022,Auburn_AL,3,South,2.1299183590921316,Ferrão et al. 2021
GEN_051,yield,2022,Auburn_AL,3,South,3.4513338266870446,Ferrão et al. 2021
GEN_052,yield,2022,Auburn_AL,3,North,4.348692468609723,Ferrão et al. 2021
GEN_053,yield,2022,Auburn_AL,3,South,2.504852351801277,Ferrão et al. 2021
GEN_054,yield,2022,Auburn_AL,3,North,4.953330951295459,Ferrão et al. 2021
GEN_055,yield,2022,Auburn_AL,3,North,0.7434364685043443,Ferrão et al. 2021
GEN_056,yield,2022,Auburn_AL,3,South,3.7430141831927157,Ferrão et al. 2021
GEN_057,yield,2022,Auburn_AL,3,South,3.2300421164006448,Ferrão et al. 2021
GEN_058,yield,2022,Auburn_AL,3,North,4.1248175626031,Ferrão et al. 2021
GEN_059,yield,2022,Auburn_AL,3,South,2.2579201963755304,Ferrão et al. 2021
GEN_060,yield,2022,Auburn_AL,3,North,5.0227054406884575,Ferrão et al. 2021
GEN_061,yield,2022,Auburn_AL,3,North,3.3290733771534313,Ferrão et al. 2021
GEN_062,yield,2022,Auburn_AL,3,South,3.414815838971953,Ferrão et al. 2021
GEN_063,yield,2022,Auburn_AL,3,South,1.149444594883923,Ferrão et al. 2021
GEN_064,yield,2022,Auburn_AL,3,North,-0.08298515397009698,Ferrão et al. 2021
GEN_065,yield,2022,Auburn_AL,3,North,4.426540703357764,Ferrão et al. 2021
GEN_066,yield,2022,Auburn_AL,3,North,1.0369851179365672,Ferrão et al. 2021
GEN_067,yield,2022,Auburn_AL,3,North,3.4299122458401223,Ferrão et al. 2021
GEN_068,yield,2022,Auburn_AL,3,North,2.8972983305823248,Ferrão et al. 2021
GEN_069,yield,2022,Auburn_AL,3,South,0.18607353306847862,Ferrão et al. 2021
GEN_070,yield,2022,Auburn_AL,3,North,2.5393188292326894,Ferrão et al. 2021
GEN_071,yield,2022,Auburn_AL,3,North,3.282673786969434,Ferrão et al. 2021
GEN_072,yield,2022,Auburn_AL,3,North,1.7154636760343385,Ferrão et al. 2021
GEN_073,yield,2022,Auburn_AL,3,North,3.7767516794261553,Ferrão et al. 2021
GEN_074,yield,2022,Auburn_AL,3,North,6.003492660925282,Ferrão et al. 2021
GEN_075,yield,2022,Auburn_AL,3,North,3.857442774538035,Ferrão et al. 2021
GEN_076,yield,2022,Auburn_AL,3,North,2.3295654004085984,Ferrão et al. 2021
GEN_077,yield,2022,Auburn_AL,3,South,1.6993292158499573,Ferrão et al. 2021
GEN_078,yield,2022,Auburn_AL,3,South,3.453432610220051,Ferrão et al. 2021
GEN_079,yield,2022,Auburn_AL,3,North,1.7787972203779268,Ferrão et al. 2021
GEN_080,yield,2022,Auburn_AL,3,South,4.817266541560398,Ferrão et al. 2021
GEN_081,yield,2022,Auburn_AL,3,South,2.0041107192857286,Ferrão et al. 2021
GEN_082,yield,2022,Auburn_AL,3,North,2.958906910045175,Ferrão et al. 2021
GEN_083,yield,2022,Auburn_AL,3,North,0.07115745056183864,Ferrão et al. 2021
GEN_084,yield,2022,Auburn_AL,3,North,0.6558178352558959,Ferrão et al. 2021
GEN_085,yield,2022,Auburn_AL,3,South,1.1291158730112902,Ferrão et al. 2021
GEN_086,yield,2022,Auburn_AL,3,South,3.795174044789345,Ferrão et al. 2021
GEN_087,yield,2022,Auburn_AL,3,North,2.496679348004207,Ferrão et al. 2021
GEN_088,yield,2022,Auburn_AL,3,South,4.050206387747169,Ferrão et al. 2021
GEN_089,yield,2022,Auburn_AL,3,North,-0.07310152648338009,Ferrão et al. 2021
GEN_090,yield,2022,Auburn_AL,3,South,4.310459374178539,Ferrão et al. 2021
GEN_091,yield,2022,Auburn_AL,3,South,2.894436522356764,Ferrão et al. 2021
GEN_092,yield,2022,Auburn_AL,3,South,1.2575071056798293,Ferrão et al. 2021
GEN_093,yield,2022,Auburn_AL,3,South,1.700775815323707,Ferrão et al. 2021
GEN_094,yield,2022,Auburn_AL,3,North,2.4216652248372457,Ferrão et al. 2021
GEN_095,yield,2022,Auburn_AL,3,North,5.227184486966893,Ferrão et al. 2021
GEN_096,yield,2022,Auburn_AL,3,North,4.134011493348478,Ferrão et al. 2021
GEN_097,yield,2022,Auburn_AL,3,South,2.171789796519476,Ferrão et al. 2021
GEN_098,yield,2022,Auburn_AL,3,South,3.6659413934418827,Ferrão et al. 2021
GEN_099,yield,2022,Auburn_AL,3,North,4.8668797422442225,Ferrão et al. 2021
GEN_100,yield,2022,Auburn_AL,3,North,3.4101621004191833,Ferrão et al. 2021
GEN_001,yield,2022,Citra_FL,1,North,2.568342657511611,Ferrão et al. 2021
GEN_002,yield,2022,Citra_FL,1,North,3.5219156785618595,Ferrão et al. 2021
GEN_003,yield,2022,Citra_FL,1,South,3.690358339847994,Ferrão et al. 2021
GEN_004,yield,2022,Citra_FL,1,South,1.158829816401213,Ferrão et al. 2021
GEN_005,yield,2022,Citra_FL,1,South,2.468393556012905,Ferrão et al. 2021
GEN_006,yield,2022,Citra_FL,1,North,3.2365568145227286,Ferrão et al. 2021
GEN_007,yield,2022,Citra_FL,1,North,1.241059998329532,Ferrão et al. 2021
GEN_008,yield,2022,Citra_FL,1,South,1.072549726934704,Ferrão et al. 2021
GEN_009,yield,2022,Citra_FL,1,South,2.0349936161074758,Ferrão et al. 2021
GEN_010,yield,2022,Citra_FL,1,South,3.883253425775054,Ferrão et al. 2021
GEN_011,yield,2022,Citra_FL,1,South,1.7301312429020925,Ferrão et al. 2021
GEN_012,yield,2022,Citra_FL,1,North,3.0768667627055146,Ferrão et al. 2021
